Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price
HP,Notebook,4,1.44,0,0,111.93520355955212,Other Intel Processor,0,32,Intel,Windows,9.409283029786373
Dell,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,11.482152806302976
Asus,Gaming,16,2.9,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,11.224776083346525
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac,11.775302049361828
Dell,Notebook,4,1.93,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows,10.841452101115571
Lenovo,Ultrabook,8,1.17,0,1,209.8006828649808,Intel Core i7,0,512,Intel,Windows,11.406054689443872
Asus,Ultrabook,16,1.63,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,11.267217235406594
Dell,Notebook,16,2.2,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Windows,11.081544019025282
HP,Ultrabook,8,1.54,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows,11.267217235406594
MSI,Gaming,8,2.4,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,11.016797696588752
Acer,Notebook,2,1.68,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,Others,9.77465368069266
Asus,Notebook,4,2.37,0,0,100.45466986113652,Intel Core i7,0,256,Intel,Windows,10.720679721736714
Acer,Notebook,8,3.3,0,0,106.11306214269258,Intel Core i3,1000,0,Nvidia,Windows,10.419692282932576
HP,Notebook,6,1.91,0,1,141.21199808219862,AMD Processor,0,128,AMD,Windows,10.319265697988737
Asus,Gaming,8,2.73,0,1,127.33567457123112,Intel Core i5,1000,128,Nvidia,Windows,11.454295851800008
Lenovo,Gaming,16,4.6,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows,11.711863755958657
Dell,Ultrabook,8,1.23,1,0,276.053530085501,Intel Core i5,0,256,Intel,Others,10.977716980635757
Dell,Gaming,16,4.42,0,1,169.78089942830815,Intel Core i7,1000,256,Nvidia,Windows,11.912578515747589
HP,Ultrabook,8,1.26,0,0,125.36742798669836,Intel Core i5,0,256,Intel,Windows,11.52253514374866
Dell,Ultrabook,4,1.5,0,0,125.36742798669836,Intel Core i3,500,0,Intel,Windows,11.010081106005767
Lenovo,2 in 1 Convertible,16,1.36,1,0,209.8006828649808,Intel Core i7,0,512,Intel,Windows,11.799206957067089
MSI,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,11.064804181259648
Lenovo,Notebook,6,2.8,0,0,106.11306214269258,Intel Core i5,1000,128,Nvidia,Windows,10.55342238395318
Asus,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows,10.329931067029484
Dell,Gaming,8,2.62,0,0,282.42399616439724,Intel Core i7,1000,128,Nvidia,Windows,11.2874471903093
MSI,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,11.272726554360904
HP,Notebook,8,1.86,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others,10.329931067029484
Apple,Ultrabook,16,2.04,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac,11.64410811545818
Dell,Ultrabook,16,1.2,1,0,276.053530085501,Intel Core i7,0,1000,Intel,Windows,11.696022720831856
Dell,Ultrabook,16,1.21,1,1,331.2642361026012,Intel Core i7,0,1000,Intel,Windows,11.799206957067089
Asus,Gaming,8,2.7,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,11.352694739066088
Asus,Notebook,8,2.0,0,1,282.42399616439724,Intel Core i7,1000,256,Nvidia,Windows,11.144911042902732
Dell,Gaming,16,4.42,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,11.876197639250138
Acer,Gaming,16,2.5,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,11.144911042902732
Dell,Notebook,4,1.9,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows,10.690944412566814
Dell,Ultrabook,8,1.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows,10.812765077263236
Lenovo,Notebook,8,2.2,0,0,100.45466986113652,Intel Core i3,2000,0,Nvidia,Others,10.104611236292678
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,10.660172753900062
Lenovo,Gaming,16,2.6,1,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,10.911903762066183
Dell,2 in 1 Convertible,4,1.71,1,0,165.6321180513006,Intel Core i3,1000,0,Intel,Windows,10.450993742936223
Acer,Gaming,16,4.2,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows,11.543423631696015
Dell,Ultrabook,8,1.6,0,0,176.23257360658386,Intel Core i7,0,256,Intel,Windows,11.408044834149251
HP,Ultrabook,8,1.34,0,1,276.053530085501,Intel Core i7,0,256,Intel,Windows,11.018720942220474
Dell,Notebook,4,1.6,0,0,157.3505121487356,Intel Core i3,0,128,Intel,Windows,10.576614498925236
MSI,Gaming,8,2.4,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,11.064804181259648
Dell,2 in 1 Convertible,8,1.34,1,0,176.23257360658386,Intel Core i5,0,256,Intel,Windows,11.396139931642937
Toshiba,Notebook,16,2.4,0,1,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,11.221929106334594
Lenovo,2 in 1 Convertible,4,0.69,1,1,224.1738090785728,Other Intel Processor,0,0,Intel,Others,10.283659467741664
HP,2 in 1 Convertible,8,1.4,1,0,135.0942111925629,Other Intel Processor,0,0,Intel,Others,10.180118788800824
HP,Notebook,8,1.91,0,0,100.45466986113652,AMD Processor,0,128,AMD,Windows,10.075655737865564
Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1000,0,Nvidia,Windows,11.0547454208418
Dell,Notebook,4,2.3,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows,10.012572388296086
Dell,Ultrabook,8,1.9,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows,10.931153634628432
Dell,Workstation,16,2.17,0,1,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,11.732612168264149
Asus,Gaming,8,3.2,0,0,127.33567457123112,AMD Processor,1000,256,AMD,Windows,11.144911042902732
HP,Notebook,8,1.95,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,10.863113597896753
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows,10.003598553570956
Dell,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,500,0,Intel,Windows,10.81610755552082
Dell,Notebook,8,2.13,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,10.619090308798832
Dell,Netbook,4,1.26,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Others,9.662536382571954
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others,10.283659467741664
Acer,Notebook,6,2.1,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,Windows,10.147261623643049
Asus,2 in 1 Convertible,6,1.5,1,0,165.6321180513006,Intel Core i5,1000,0,Intel,Windows,10.435481129939486
HP,Notebook,8,2.63,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Windows,10.78900562574303
HP,Notebook,4,1.49,0,0,165.6321180513006,Intel Core i3,0,128,Intel,Windows,10.55342238395318
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,10.744054237880762
Lenovo,Workstation,8,2.67,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,11.53824227295402
Lenovo,2 in 1 Convertible,8,1.3,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows,10.916751081300507
Asus,Notebook,8,2.3,0,0,141.21199808219862,Intel Core i5,128,0,Intel,Windows,10.3556835631319
MSI,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows,10.996564630149608
Lenovo,Notebook,4,1.7,0,1,157.3505121487356,Intel Core i3,0,128,Intel,Windows,10.370822624347584
HP,Notebook,4,1.54,0,0,157.3505121487356,Intel Core i5,500,0,Intel,Windows,10.913835810881007
